,ID,DATE,ROUTE_SURVEYED,BOARDING_LOCATION,BOARDING_LAT,BOARDING_LON,TRANSFERS_FROM_FIRST,ORIGIN_LAT_100M,ORIGIN_LON_100M,TIME_ON,route_type,Vertical_direction,Horizontal_direction
15610,15611,2016-09-29 00:00:00,BLUE METRO Blue Line [SB],Warehouse Hennepin Ave Station,44.980159,-93.273159,19 Olson Memorial Hwy - Penn Av N - Brooklyn Center [ Minneapolis Metro Transit ],44.993,-93.302,10:00 - 11:00 am,19,-0.012841000000001657,0.028840999999999894
15616,15617,2016-09-29 00:00:00,GREEN METRO Green Line [EB],Warehouse Hennepin Ave Station,44.980003,-93.273144,10 Central Av - University Av - Northtown [ Minneapolis Metro Transit ],45.115,-93.251,10:00 - 11:00 am,10,-0.13499699999999848,-0.022143999999997277
15626,15627,2016-09-29 00:00:00,GREEN METRO Green Line [EB],Warehouse Hennepin Ave Station,44.980003,-93.273144,19 Olson Memorial Hwy - Penn Av N - Brooklyn Center [ Minneapolis Metro Transit ],45.024,-93.303,10:00 - 11:00 am,19,-0.0439969999999974,0.02985599999999522
15644,15645,2016-09-29 00:00:00,121 U of M - Campus Connector [EB],Washington Ave & Blegen Hall,44.972302,-93.243772,465 Burnsville-Minneapolis-U of M [ Minnesota Valley Transit ],44.738,-93.229,11:00 am - 12:00 pm,465,0.23430199999999957,-0.014772000000007779
15651,15652,2016-09-29 00:00:00,121 U of M - Campus Connector [WB],Pleasant St & Eddy Hall,44.978468,-93.235893,3 U of M - Como Av - Energy Park Dr - Maryland Av [ Minneapolis Metro Transit ],44.989,-93.221,11:00 am - 12:00 pm,3,-0.010531999999997765,-0.014893000000000711
15659,15660,2016-09-29 00:00:00,123 U of M - 4th Street Circulator [LP],19th Ave S & 3rd St S - Leave,44.970965,-93.245734,22 Brklyn Ctr - Lyndale Av N - Cedar - 28th Av S - VA [ Minneapolis Metro Transit ],44.976,-93.272,11:00 am - 12:00 pm,22,-0.005034999999999457,0.026266000000006784
15665,15666,2016-09-29 00:00:00,BLUE METRO Blue Line [NB],38th St Station,44.934857,-93.229545,23 Uptown - 38th St - Highland Village [ Minneapolis Metro Transit ],44.909,-93.212,11:00 am - 12:00 pm,23,0.025857000000002017,-0.017544999999998367
15671,15672,2016-09-29 00:00:00,121 U of M - Campus Connector [WB],23rd Ave SE & Transitway / 6th St SE,44.976328,-93.221867,122 U of M - University Ave Circulator [ Minneapolis Metro Transit ],44.98,-93.237,11:00 am - 12:00 pm,122,-0.0036719999999945685,0.015132999999991625
15701,15702,2016-09-29 00:00:00,121 U of M - Campus Connector [WB],Buford Ave & St Paul Student Center,44.984568,-93.186345,87 Rosedale - U of M St Paul - Cleveland Av [ Minneapolis Metro Transit ],44.939,-93.172,1:00 - 2:00 pm,87,0.04556800000000294,-0.014345000000005825
15739,15740,2016-09-29 00:00:00,121 U of M - Campus Connector [EB],Oak St SE & University Ave SE,44.975378,-93.226583,120 U of M Stadium Super Shuttle [ Minneapolis Metro Transit ],44.971,-93.227,2:00 - 3:00 pm,120,0.0043780000000026575,0.00041699999999877946
15745,15746,2016-09-29 00:00:00,3 U of M - Como Av - Energy Park Dr - Maryland Av [EB],5th St Transit Center & Platform A,44.981014,-93.275356,6 U of M - Hennepin - Xerxes - France - Southdale [ Minneapolis Metro Transit ],44.972,-93.283,3:00 - 4:00 pm,6,0.009014000000000522,0.007643999999999096
15753,15754,2016-09-29 00:00:00,BLUE METRO Blue Line [SB],Nicollet Mall Station,44.978491,-93.269912,61 E Hennepin Av - Larpenteur Av - Arcade St [ Minneapolis Metro Transit ],44.978,-93.285,3:00 - 4:00 pm,61,0.0004909999999966885,0.015087999999991553
15766,15767,2016-09-29 00:00:00,GREEN METRO Green Line [EB],Warehouse Hennepin Ave Station,44.980003,-93.273144,4 New Brighton - Johnson St - Bryant Av - Southtown [ Minneapolis Metro Transit ],44.972,-93.284,4:00 - 5:00 pm,4,0.008003000000002203,0.010856000000003974
15786,15787,2016-09-29 00:00:00,GREEN METRO Green Line [EB],U.S. Bank Stadium Station,44.97496,-93.259671,10 Central Av - University Av - Northtown [ Minneapolis Metro Transit ],44.998,-93.247,5:00 - 6:00 pm,10,-0.02303999999999462,-0.012670999999997434
15794,15795,2016-09-29 00:00:00,GREEN METRO Green Line [WB],Central Station,44.94607,-93.092202,21 Uptown - Lake St - Selby  Av [ Minneapolis Metro Transit ],44.948,-93.11,5:00 - 6:00 pm,21,-0.0019300000000015416,0.017797999999999092
15807,15808,2016-09-29 00:00:00,BLUE METRO Blue Line [SB],Franklin Ave Station,44.962612,-93.247074,9 Glenwood Av - Wayzata Blvd - Cedar Lk Rd -46St LRT [ Minneapolis Metro Transit ],44.957,-93.235,5:00 - 6:00 pm,9,0.005611999999999284,-0.012073999999998364
15809,15810,2016-09-29 00:00:00,GREEN METRO Green Line [EB],West Bank Station,44.972024,-93.245553,2 Franklin Av - Riverside Av - U of M - 8th St SE [ Minneapolis Metro Transit ],44.967,-93.236,5:00 - 6:00 pm,2,0.005023999999998807,-0.009552999999996814
